
20260705 02.07.45 A OK       ID147.7  APP Reset Locks.Var Set, %PSQueuePressure=0
20260705 02.07.45 A OK       ID147.8  APP Reset Locks.Var Set, %PSProcessThisRow=0
20260705 02.07.45 A OK       ID147.9  APP Reset Locks.Var Set, %PSMainIndex=0
20260705 02.07.45 A OK       ID147.10 APP Reset Locks.Var Set, %PSMainRow=0
20260705 02.07.45 A OK       ID147.11 APP Reset Locks.Var Set, %PSSenderValid=0
20260705 02.07.45 A OK       ID147.12 APP Reset Locks.Var Set, %PSGroupCount=0
20260705 02.07.45 A OK       ID147.13 APP Reset Locks.Var Set, %AIWSending=0
20260705 02.07.45 A OK       ID147.14 APP Reset Locks.Var Set, %PSValidWork=0
20260705 02.07.45 A OK       ID147.15 APP Reset Locks.Var Set, %PSHttpSuccess=0
20260705 02.07.45 A OK       ID147.16 APP Reset Locks.Var Set, %PSReplyValid=0
20260705 02.07.45 A OK       ID147.17 APP Reset Locks.Var Set, %PSMode=NONE
20260705 02.07.45 A OK       ID147.18 APP Reset Locks.Var Set, %PSMarkedProcessing=0
20260705 02.07.45 A OK       ID147.19 APP Reset Locks.Var Set, %PSBuildPromptOk=0
20260705 02.07.45 A OK       ID147.20 APP Reset Locks.Var Set, %PSValidWork=0
20260705 02.07.45 A OK       ID147.21 APP Reset Locks.Var Set, %PSSenderValid=0
20260705 02.07.45 A OK       ID147.22 APP Reset Locks.Var Set, %PSHttpCode=0
20260705 02.07.45 A OK       ID147.23 APP Reset Locks.Var Set, %PSSenderType=BAD
20260705 02.07.45 A OK       ID147.24 APP Reset Locks.Var Set, %AIWArchiving=0
20260705 02.07.45 A OK       ID147.25 APP Reset Locks.Var Clear, %PSReadRange=%PSReadRange
20260705 02.07.45 A OK       ID147.26 APP Reset Locks.Var Clear, %PSPressureMode=%PSPressureMode
20260705 02.07.45 A OK       ID147.27 APP Reset Locks.Var Clear, %PSSenderRaw=%PSSenderRaw
20260705 02.07.45 A OK       ID147.28 APP Reset Locks.Var Clear, %PSSenderKey=%PSSenderKey
20260705 02.07.45 A OK       ID147.29 APP Reset Locks.Var Clear, %PSNewestMessage=%PSNewestMessage
20260705 02.07.45 A OK       ID147.30 APP Reset Locks.Var Clear, %PSGroupPolicy=%PSGroupPolicy
20260705 02.07.45 A OK       ID147.31 APP Reset Locks.Var Clear, %PSIncludedIndexes=%PSIncludedIndexes
20260705 02.07.45 A OK       ID147.32 APP Reset Locks.Var Clear, %PSGroupMessages=%PSGroupMessages
20260705 02.07.45 A OK       ID147.33 APP Reset Locks.Var Clear, %PSDebug=%PSDebug
20260705 02.07.45 A OK       ID147.34 APP Reset Locks.Var Clear, %PSFailureStatus=%PSFailureStatus
20260705 02.07.45 A OK       ID147.35 APP Reset Locks.Var Set, %AIWRetrying=0
20260705 02.07.45 A OK       ID147.36 APP Reset Locks.Var Clear, %PSError=%PSError
20260705 02.07.45 A OK       ID147.37 APP Reset Locks.Var Clear, %PSReply=%PSReply
20260705 02.07.45 A OK       ID147.38 APP Reset Locks.Var Clear, %PSFinalStatus=%PSFinalStatus
20260705 02.07.45 A OK       ID147.39 APP Reset Locks.Var Clear, %CurrentMessageBlock=%CurrentMessageBlock
20260705 02.07.45 A OK       ID147.40 APP Reset Locks.Var Clear, %BrainRules=%BrainRules
20260705 02.07.45 A OK       ID147.41 APP Reset Locks.Var Clear, %PresetMatch=%PresetMatch
20260705 02.07.45 A OK       ID147.42 APP Reset Locks.Var Clear, %PresetReply=%PresetReply
20260705 02.07.45 A OK       ID147.43 APP Reset Locks.Var Clear, %ConversationHistory=%ConversationHistory
20260705 02.07.45 A OK       ID147.44 APP Reset Locks.Var Clear, %FinalPrompt=%FinalPrompt
20260705 02.07.45 A OK       ID147.45 APP Reset Locks.Var Clear, %SafeSystemPrompt=%SafeSystemPrompt
20260705 02.07.45 A OK       ID147.46 APP Reset Locks.Var Set, %AIWCompacting=0
20260705 02.07.45 A OK       ID147.47 APP Reset Locks.Var Clear, %SafeUserPrompt=%SafeUserPrompt
20260705 02.07.45 A OK       ID147.48 APP Reset Locks.Var Clear, %PSSenderKey=%PSSenderKey
20260705 02.07.45 A OK       ID147.49 APP Reset Locks.Var Clear, %PSSender=%PSSender
20260705 02.07.45 A OK       ID147.50 APP Reset Locks.Var Clear, %PSSenderRaw=%PSSenderRaw
20260705 02.07.45 A OK       ID147.51 APP Reset Locks.Var Clear, %PSNewestMessage=%PSNewestMessage
20260705 02.07.45 A OK       ID147.52 APP Reset Locks.Var Clear, %PSHttpData=%PSHttpData
20260705 02.07.45 A OK       ID147.53 APP Reset Locks.Var Clear, %AIWSimpleLogging=%AIWSimpleLogging
20260705 02.07.45 A OK       ID147.54 APP Reset Locks.Var Clear, %AIWSimpleLoggingStartedAt=%AIWSimpleLoggingS..
20260705 02.07.45 A OK       ID147.55 APP Reset Locks.Var Clear, %AIWNextLogRow=%AIWNextLogRow
20260705 02.07.45 A OK       ID147.56 APP Reset Locks.Var Clear, %SNrealrow=%SNrealrow
20260705 02.07.45 A OK       ID147.57 APP Reset Locks.Var Set, %AIWDeadArchiving=0
20260705 02.07.45 A OK       ID147.58 APP Reset Locks.Var Set, %AIWArchiveEnabled=0
20260705 02.07.45 A OK       ID147.59 APP Reset Locks.Var Set, %AIWDeadArchiveEnabled=0
20260705 02.07.45 A OK       ID147.60 APP Reset Locks.Var Set, %AIWCompactorEnabled=0
20260705 02.07.45 A OK       ID147.61 APP Reset Locks.Var Set, %AIWArchiveGraceSec=300
20260705 02.07.45 A OK       ID147.62 APP Reset Locks.Var Set, %AIWFastSendPrepass=0
20260705 02.07.45 A OK       ID147.63 APP Reset Locks.Var Set, %AIWSendSameChatFastPath=0
20260705 02.07.45 A OK       ID147.64 APP Reset Locks.Var Set, %AIWDebugLevel=0
20260705 02.07.45 A OK       ID147.65 APP Reset Locks.Var Set, %AIWDebugPopups=0
20260705 02.07.45 A OK       ID147.66 APP Reset Locks.Var Set, %AIWDebugSheetLog=0
20260705 02.07.45 A OK       ID147.67 APP Reset Locks.Var Set, %AIWRepairTestMode=0
20260705 02.07.45 A OK       ID147.68 APP Reset Locks.Var Set, %AIWWatchdogging=0
20260705 02.07.45 A OK       ID147.69 APP Reset Locks.Var Clear, %SNsender=%SNsender
20260705 02.07.45 A OK       ID147.70 APP Reset Locks.Var Clear, %SNmessage=%SNmessage
20260705 02.07.45 A OK       ID147.71 APP Reset Locks.Var Clear, %SNticker=%SNticker
20260705 02.07.45 A OK       ID147.72 APP Reset Locks.Var Clear, %SNid=%SNid
20260705 02.07.45 A OK       ID147.73 APP Reset Locks.Var Clear, %SNrealrow=%SNrealrow
20260705 02.07.45 A OK       ID147.74 APP Reset Locks.Var Clear, %SNFingerprint=%SNFingerprint
20260705 02.07.45 A OK       ID147.75 APP Reset Locks.Var Clear, %LastInboundFingerprint=%LastInboundFinger..
20260705 02.07.45 A OK       ID147.76 APP Reset Locks.Var Clear, %LastInboundLogTime=%LastInboundLogTime
20260705 02.07.45 A OK       ID147.77 APP Reset Locks.Var Clear, %SNSheetDuplicate=%SNSheetDuplicate
20260705 02.07.45 A OK       ID147.78 APP Reset Locks.Var Clear, %OVLogResult=%OVLogResult
20260705 02.07.45 A OK       ID147.79 APP Reset Locks.Var Set, %AIWQueueChecking=0
20260705 02.07.45 A OK       ID147.80 APP Reset Locks.Var Set, %AIWOverflowPendingCount=0
20260705 02.07.45 A OK       ID147.81 APP Reset Locks.Var Clear, %OVPendingCheckOK=%OVPendingCheckOK
20260705 02.07.45 A OK       ID147.82 APP Reset Locks.Var Set, %AIWorkerKickPending=0
20260705 02.07.45 A OK       ID147.83 APP Reset Locks.Var Set, %AIWSourceLock=1
20260705 02.07.45 A OK       ID147.84 APP Reset Locks.Var Set, %AIWPatchMode=SAFE_NON_UI_GUARD_..
20260705 02.07.45 A OK       ID147.85 APP Reset Locks.Var Set, %AIWBestWorkStandard=1
20260705 02.07.45 A OK       ID147.86 APP Reset Locks.Var Set, %AIWNoUnrelatedChanges=1
20260705 02.07.45 A OK       ID147.87 APP Reset Locks.Var Set, %AIWPrivacyBoundary=POLICY_OR_USER_APP..
20260705 02.07.45 A OK       ID147.88 APP Reset Locks.Var Set, %AIWDoNotTouchTextNowUI=1
20260705 02.07.45 A OK       ID147.89 APP Reset Locks.Var Set, %AIWDoNotTouchAutoInput=1
20260705 02.07.45 A OK       ID147.90 APP Reset Locks.Var Set, %AIWDeviceTunedFrozen=1
20260705 02.07.45 A OK       ID147.91 APP Reset Locks.Var Set, %AIWPreserveKeysInWithKeyPackage=1
20260705 02.07.45 A OK       ID147.92 APP Reset Locks.Var Set, %AIWDoNotPrintKeys=1
20260705 02.07.45 A OK       ID147.93 APP Reset Locks.Var Set, %AIWAllowTempTools=0
20260705 02.07.45 A OK       ID147.94 APP Reset Locks.Var Set, %AIWAllowHeavyCleanup=0
20260705 02.07.45 A OK       ID147.95 APP Reset Locks.Var Set, %AIWDeviceTunedPatchAllowed=0
20260705 02.07.45 A OK       ID147.96 APP Reset Locks.Var Set, %AIWFinalSystemTarget=50_CONTACT_MONTH_R..
20260705 02.07.45 A OK       ID147.97 APP Reset Locks.Var Set, %AIWBackpressureMode=NORMAL
20260705 02.07.45 A OK       ID147.98 APP Reset Locks.Var Set, %AIWNextPatchGate=PHONE_IMPORT_SAFE_..
20260705 02.07.45 A OK       ID147.99 APP Reset Locks.Var Set, %AIWProofPatchVersion=V19I
20260705 02.07.45 A OK       ID147.100 APP Reset Locks.Var Set, %AIWProofLoggingEnabled=1
20260705 02.07.45 A OK       ID147.101 APP Reset Locks.Var Set, %AIWSendLogEnabled=1
20260705 02.07.46 A OK       ID147.102 APP Reset Locks.Var Set, %AIWHealthLogEnabled=1
20260705 02.07.46 A OK       ID147.103 APP Reset Locks.Var Set, %AIWProofSelfTestRequired=1
20260705 02.07.46 A OK       ID147.104 APP Reset Locks.Var Set, %AIWProofLogSheet=AIWProofLog
20260705 02.07.46 A OK       ID147.105 APP Reset Locks.Var Set, %AIWSendLogSheet=SendLog
20260705 02.07.46 A OK       ID147.106 APP Reset Locks.Var Set, %AIWHealthLogSheet=HealthLog
20260705 02.07.46 A OK       ID147.107 APP Reset Locks.Var Set, %AIWProofBoardSheet=AIWProofBoard
20260705 02.07.46 A OK       ID147.108 APP Reset Locks.Var Set, %AIWDebugProofScope=NON_UI_ALL_MAJOR_S..
20260705 02.07.46 A OK       ID147.109 APP Reset Locks.Var Set, %AIWProofEvent=APP Reset Locks_CO..
20260705 02.07.46 A OK       ID147.110 APP Reset Locks.Var Set, %AIWProofStage=CONFIG_RESET
20260705 02.07.46 A OK       ID147.111 APP Reset Locks.Var Set, %AIWProofResult=PASS
20260705 02.07.46 A OK       ID147.112 APP Reset Locks.Var Set, %AIWProofRow=%AIWProofRow
20260705 02.07.46 A OK       ID147.113 APP Reset Locks.Var Set, %AIWProofSender=%AIWProofSender
20260705 02.07.46 A OK       ID147.114 APP Reset Locks.Var Set, %AIWProofStatusBefore=%AIWProofStatusBef..
20260705 02.07.46 A OK       ID147.115 APP Reset Locks.Var Set, %AIWProofStatusAfter=%AIWProofStatusAfter
20260705 02.07.46 A OK       ID147.116 APP Reset Locks.Var Set, %AIWProofDetails=APP Reset Locks co..
